ID_LATTES	NM_PROGRAMA_IES	NM_ENTIDADE_ENSINO
6909911499178658	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
8451899278385317	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
6915992511951986	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
6528211766075000	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
0298247513754584	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
4646842973643426	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
4693674427102054	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
0049341984494164	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
9392068753290032	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
8967178363592981	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
5128560186039381	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
3857158621802457	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
3203712465096936	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
4543535405121206	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
0286666531410312	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
3283006619348405	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
0829196102467784	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
2462808113611690	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
9583873223268882	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
8764485326718018	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
2285127061716886	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
9345912025013527	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
4905243643727116	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
1678108999194532	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
8636371353890200	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
4781103785991122	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
1443941093004699	AGRONEGÓCIOS	Universidade Federal do Rio Grande do Sul
	ALIMENTAÇÃO, NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
4414359455125552	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
0007772157372769	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
5286292084781415	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
8193454290644430	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
9930640555125091	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
9282528583140456	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
7963821660167440	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
9039273079632174	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
3164458516528644	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
1255441506880461	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
3356700556643498	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
0331222108426583	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
0695430441325943	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
0608796051163103	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
0083415002671906	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
1865443718607608	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
6276610455202824	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Universidade Federal do Rio Grande do Sul
9342325670557644	ALIMENTOS DE ORIGEM ANIMAL	Universidade Federal do Rio Grande do Sul
6841118121493906	ALIMENTOS DE ORIGEM ANIMAL	Universidade Federal do Rio Grande do Sul
8867210063530281	ALIMENTOS DE ORIGEM ANIMAL	Universidade Federal do Rio Grande do Sul
3155933203201052	ALIMENTOS DE ORIGEM ANIMAL	Universidade Federal do Rio Grande do Sul
8920966992214379	ALIMENTOS DE ORIGEM ANIMAL	Universidade Federal do Rio Grande do Sul
1678108999194532	ALIMENTOS DE ORIGEM ANIMAL	Universidade Federal do Rio Grande do Sul
7204514402989977	ALIMENTOS DE ORIGEM ANIMAL	Universidade Federal do Rio Grande do Sul
1895036987405122	ALIMENTOS DE ORIGEM ANIMAL	Universidade Federal do Rio Grande do Sul
8178624623031720	ALIMENTOS DE ORIGEM ANIMAL	Universidade Federal do Rio Grande do Sul
5147398683763004	ALIMENTOS DE ORIGEM ANIMAL	Universidade Federal do Rio Grande do Sul
0618653776990780	ALIMENTOS DE ORIGEM ANIMAL	Universidade Federal do Rio Grande do Sul
0555273106861409	ALIMENTOS DE ORIGEM ANIMAL	Universidade Federal do Rio Grande do Sul
4823503014598071	ALIMENTOS DE ORIGEM ANIMAL	Universidade Federal do Rio Grande do Sul
5633849867865936	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
3935346650549291	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
9535835543378743	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
3088318037496321	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
8796668741094021	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
4789004961395272	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
7187238922547625	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
8620249965221608	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
7446126566413577	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
6297361141719296	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
3296337995365996	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
4268492948743246	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
5628792286515877	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
4786004407933399	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
7164983612113282	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
8646469321774113	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
7325596286251717	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
2937021383580285	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
2076987603354907	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
1747539632586169	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
4113327441291226	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
9438438920135359	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
9943826446885266	ANTROPOLOGIA SOCIAL	Universidade Federal do Rio Grande do Sul
4653549390387437	ARQUITETURA	Universidade Federal do Rio Grande do Sul
7099552648443143	ARQUITETURA	Universidade Federal do Rio Grande do Sul
0408000433365460	ARQUITETURA	Universidade Federal do Rio Grande do Sul
1597797193244653	ARQUITETURA	Universidade Federal do Rio Grande do Sul
	ARQUITETURA	Universidade Federal do Rio Grande do Sul
2093098818700919	ARQUITETURA	Universidade Federal do Rio Grande do Sul
1931152515515581	ARQUITETURA	Universidade Federal do Rio Grande do Sul
4290893631616486	ARQUITETURA	Universidade Federal do Rio Grande do Sul
4267412235162667	ARQUITETURA	Universidade Federal do Rio Grande do Sul
2790035784807996	ARQUITETURA	Universidade Federal do Rio Grande do Sul
8361432239512803	ARQUITETURA	Universidade Federal do Rio Grande do Sul
